Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 22.0252, 23.5576, 9715.86
conn_1--3, 30720, 30720, 22.3569, 20.698, 11058.2
conn_1--4, 30720, 30720, 22.6644, 19.7659, 11579.6
conn_1--5, 30720, 30720, 20.7438, 21.3479, 10721.5
conn_2--1, 30720, 30720, 22.4935, 23.458, 9757.11
conn_2--3, 30720, 30720, 20.9677, 19.4224, 11784.4
conn_2--4, 30720, 30720, 21.1312, 21.0238, 10886.8
conn_2--5, 30720, 30720, 21.0369, 21.713, 10541.2
conn_3--1, 30720, 30720, 19.7574, 19.8234, 11546.1
conn_3--2, 30720, 30720, 20.7569, 19.8251, 11545.1
conn_3--4, 30720, 30720, 22.1866, 18.2412, 12547.5
conn_3--5, 30720, 30720, 19.4039, 19.4553, 11764.5
conn_4--1, 30720, 30720, 18.7015, 19.0966, 11985.5
conn_4--2, 30720, 30720, 19.0329, 21.7234, 10536.2
conn_4--3, 30720, 30720, 18.4052, 18.2386, 12549.3
conn_4--5, 30720, 30720, 17.9689, 19.2692, 11878.1
conn_5--1, 30720, 30720, 19.2663, 20.8261, 10990.1
conn_5--2, 30720, 30720, 22.5131, 23.1847, 9872.09
conn_5--3, 30720, 30720, 18.4169, 19.4471, 11769.4
conn_5--4, 30720, 30720, 18.2374, 19.2738, 11875.3
