Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 256, 129792, 128000, 0, 1792, 7, 0.982658, 0.969091, 984091

conn2_flow1, 256, 259328, 256000, 0, 3328, 13, 0.993285, 0.980538, 1.94521e+06
