Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 19.6075
conn2, flow1_conn2, 21.6919
conn3, flow1_conn3, 22.0747
conn4, flow1_conn4, 19.8804
conn5, flow1_conn5, 20.9642
