Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.352, 19.5692, 380730

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 29.7683, 28.9013, 257794

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.4769, 19.8805, 374768

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.1063, 20.4915, 363593

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
