Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1426, 19.5559, 380989

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.0939, 21.4504, 347340

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9416, 19.3607, 384829

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.9673, 20.1609, 369556

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0372, 20.4245, 364787
