Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5177, 19.9201, 374023

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.137, 19.5505, 381094

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.4251, 23.7137, 314189

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.0096, 20.2016, 368812
