Flow id, Sent size (bytes), Delivered size (bytes), Overhead (%), Retransmit size (bytes), Delivery rate (Gbps), FCT (ns)
flow-1, 1752000, 1747500, 0.257511, 4500, 1.15723, 1.54026e+07
flow-3, 1752000, 1747500, 0.257511, 4500, 1.05194, 1.54244e+07
flow-2, 1753500, 1749000, 0.25729, 4500, 1.19649, 1.54411e+07
