Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.8414, 20.0398, 371789

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 25.5579, 24.8135, 300264

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.3958, 19.8017, 376259

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.8828, 19.3037, 385967

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.8922, 20.2837, 367319
