Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9223, 19.342, 385202

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.3576, 22.6772, 328549

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4569, 19.861, 375135

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.2128, 21.5658, 345481

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.317, 21.4587, 347206
