Flow id, Sent size (bytes), Delivered size (bytes), Overhead (%), Retransmit size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), FCT (ns)
flow-1, 1752000, 1747500, 0.257511, 4500, 1.10955, 0.84481, 1.54116e+07
flow-3, 1752000, 1747500, 0.257511, 4500, 1.16885, 0.84386, 1.5429e+07
flow-2, 1753500, 1749000, 0.25729, 4500, 1.21096, 0.84367, 1.54457e+07
