Throughput
Capacity (Gbps), Actual (Gbps), Utilization (%), Latency (Nanoseconds)
100, 20.046, 20.046, 0

Ingress buffer of switch
Maximal size (Bytes), Average size (Bytes), Peak size (Bytes), Packets transmitted, Packets dropped, Drop percent
1024000, 667, 1500, 45, 0, 0

Egress buffer of sender-1
Maximal size (Bytes), Average size (Bytes), Peak size (Bytes), Packets transmitted, Packets dropped, Drop percent
1024000, 2628, 13500, 45, 0, 0
