Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 978944, 819200, 5.81633, 4.86722, 1.254e+06, 39
conn2:
  flow1_conn2, 878592, 819200, 5.64464, 5.26306, 1.15969e+06, 29
