Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 22.0868, 23.7134, 9652
conn_1--3, 30720, 30720, 20.4554, 19.3984, 11799
conn_1--4, 30720, 30720, 20.6005, 18.5164, 12361
conn_1--5, 30720, 30720, 20.6809, 21.453, 10669
conn_2--1, 30720, 30720, 22.2988, 22.6459, 10107
conn_2--3, 30720, 30720, 19.0855, 18.5015, 12371
conn_2--4, 30720, 30720, 19.1927, 18.6583, 12267
conn_2--5, 30720, 30720, 20.7467, 21.459, 10666
conn_3--1, 30720, 30720, 20.8329, 19.2532, 11888
conn_3--2, 30720, 30720, 21.1094, 19.6179, 11667
conn_3--4, 30720, 30720, 20.4028, 18.0478, 12682
conn_3--5, 30720, 30720, 18.4234, 18.5555, 12335
conn_4--1, 30720, 30720, 17.033, 18.052, 12679
conn_4--2, 30720, 30720, 18.8962, 19.2419, 11895
conn_4--3, 30720, 30720, 17.1308, 18.0435, 12685
conn_4--5, 30720, 30720, 17.712, 19.0544, 12012
conn_5--1, 30720, 30720, 20.885, 21.7238, 10536
conn_5--2, 30720, 30720, 21.8456, 22.4372, 10201
conn_5--3, 30720, 30720, 17.8155, 18.509, 12366
conn_5--4, 30720, 30720, 17.4009, 18.5675, 12327
