Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 32.7509, 31.4695, 62064.1
conn_1--3, 262144, 262144, 30.8674, 30.0526, 64990.3
conn_1--4, 262144, 262144, 34.1878, 30.7472, 63522
conn_2--1, 262144, 262144, 30.5654, 31.0793, 62843.2
conn_2--3, 262144, 262144, 31.0745, 29.1421, 67020.8
conn_2--4, 262144, 262144, 30.9225, 28.8581, 67680.2
conn_3--1, 262144, 262144, 32.5571, 30.5892, 63850.1
conn_3--2, 262144, 262144, 31.7777, 29.4805, 66251.5
conn_3--4, 262144, 262144, 41.3068, 27.6212, 70711
conn_4--1, 262144, 262144, 34.0348, 33.0469, 59101.6
conn_4--2, 262144, 262144, 31.9706, 31.0779, 62846
conn_4--3, 262144, 262144, 30.4266, 29.9485, 65216.1
