Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0249, 19.4417, 383227

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9538, 19.3726, 384593

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.7033, 20.1002, 370671

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.2241, 20.4078, 365086

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.2168, 21.5697, 345418
