Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 19.8017
conn2, flow1_conn2, 20.5336
conn3, flow1_conn3, 19.6848
conn4, flow1_conn4, 25.8396
conn5, flow1_conn5, 22.0261
