Data Id, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
dataid_changeme, 6400, 83114.9, 0.573708, 0, 83114.9
dataid_changeme, 12800, 220509, 0.432488, 0, 220509
