Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 23424, 6400, 2.16803, 0.592359, 80498, 266
conn2:
  flow1_conn2, 59264, 12800, 2.60717, 0.563103, 169361, 363
