Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 18.3491, 18.7485, 12208
conn_1--3, 30720, 30720, 17.9589, 18.4107, 12432
conn_1--4, 30720, 30720, 16.6785, 18.4107, 12432
conn_1--5, 30720, 30720, 18.0707, 18.4107, 12432
conn_2--1, 30720, 30720, 19.5516, 19.4627, 11760
conn_2--3, 30720, 30720, 17.727, 19.4627, 11760
conn_2--4, 30720, 30720, 17.8456, 19.4627, 11760
conn_2--5, 30720, 30720, 19.9697, 20.0352, 11424
conn_3--1, 30720, 30720, 18.1951, 19.4627, 11760
conn_3--2, 30720, 30720, 18.2075, 19.4627, 11760
conn_3--4, 30720, 30720, 19.0096, 20.2335, 11312
conn_3--5, 30720, 30720, 18.9948, 20.2335, 11312
conn_4--1, 30720, 30720, 17.0761, 18.4107, 12432
conn_4--2, 30720, 30720, 18.1416, 19.8407, 11536
conn_4--3, 30720, 30720, 17.4845, 19.4627, 11760
conn_4--5, 30720, 30720, 17.4486, 18.9221, 12096
conn_5--1, 30720, 30720, 19.9251, 19.099, 11984
conn_5--2, 30720, 30720, 19.7206, 19.099, 11984
conn_5--3, 30720, 30720, 19.8344, 19.099, 11984
conn_5--4, 30720, 30720, 23.4978, 18.9221, 12096
