Data Id, Connection Ids, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
huge-send_1--6, host-1--host-6, 10485760, 8.02116e+06, 9.73987, 0, 8.02116e+06
small_2--6, host-2--host-6, 262144, 205442, 9.50694, 100000, 305442
small_3--6, host-3--host-6, 262144, 400370, 4.8783, 100000, 500370
small_4--6, host-4--host-6, 262144, 205442, 9.50694, 100000, 305442
