Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 20.4915
conn2, flow1_conn2, 19.9598
conn3, flow1_conn3, 20.2427
conn4, flow1_conn4, 19.3421
conn5, flow1_conn5, 21.3672
