Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3556, 19.7627, 377003

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5494, 20.9218, 356116

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9138, 20.3047, 366939

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9343, 19.3537, 384969

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.2674, 20.4494, 364343
