Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 929792, 819200, 5.99321, 5.28036, 1.15589e+06, 27
conn2:
  flow1_conn2, 870400, 819200, 5.21136, 4.90481, 1.24439e+06, 25
