Data Id, Connection Ids, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
huge-send_1--6, host-1--host-6, 10485760, 1.5055e+07, 5.18931, 0, 1.5055e+07
small_2--6, host-2--host-6, 262144, 2.32548e+06, 0.839881, 100000, 2.42548e+06
small_3--6, host-3--host-6, 262144, 2.03506e+06, 0.959739, 100000, 2.13506e+06
small_4--6, host-4--host-6, 262144, 2.15228e+06, 0.90747, 100000, 2.25228e+06
