Flow id, Sent size (bytes), Delivered size (bytes), Overhead (%), Retransmit size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), FCT (ns)
flow-1, 1747500, 1747500, 0, 0, 0.752385, 0.926293, 1.40559e+07
flow-3, 1747500, 1747500, 0, 0, 0.747457, 0.925267, 1.40715e+07
flow-2, 1749000, 1749000, 0, 0, 0.779009, 0.924817, 1.40904e+07
