Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 1.49012
conn2, flow1_conn2, 1.49012
conn3, flow1_conn3, 1.49012
conn4, flow1_conn4, 1.49012
conn5, flow1_conn5, 1.49012
