Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4625, 19.8666, 375031

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.8421, 20.235, 368202

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4159, 19.8213, 375888

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.342, 385203

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.0371, 20.4244, 364789
