Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.2458, 21.5978, 344969

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9807, 19.3987, 384076

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.0263, 23.3265, 319404

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.3518, 19.569, 380734
