Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.0776, 19.4928, 382222

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3169, 19.7251, 377721

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.942, 19.3612, 384821

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.7527, 22.09, 337282

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.3519, 19.5692, 380731
