Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.3124, 19.5312, 381471

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.2368, 20.6183, 361358

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 23.5697, 22.8832, 325592

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.1505, 21.5053, 346453
