Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.7096, 20.1064, 370557

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1885, 19.6005, 380123

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 25.0909, 24.3601, 305852

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.342, 385203

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.2106, 20.5928, 361805
