Throughput
Capacity (Gbps), Actual (Gbps), Utilization (%), Latency (Nanoseconds)
100, 24.1902, 24.1902, 0

Egress buffer of sender-4
Maximal size (Bytes), Average size (Bytes), Peak size (Bytes), Packets transmitted, Packets dropped, Drop percent
1024000, 2628, 13500, 48, 0, 0

Ingress buffer of switch
Maximal size (Bytes), Average size (Bytes), Peak size (Bytes), Packets transmitted, Packets dropped, Drop percent
1024000, 667, 1500, 48, 0, 0
