Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.1158, 19.3421, 385200

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.6824, 20.08, 371044

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 23.3558, 22.6755, 328574

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 24.939, 24.2127, 307714

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 23.3028, 22.6241, 329321
