Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 18.3426, 17.8646, 12812
conn_1--3, 30720, 30720, 17.8345, 18.3502, 12473
conn_1--4, 30720, 30720, 16.2296, 17.8688, 12809
conn_1--5, 30720, 30720, 18.0595, 19.0402, 12021
conn_2--1, 30720, 30720, 19.555, 18.56, 12332
conn_2--3, 30720, 30720, 20.9099, 18.542, 12344
conn_2--4, 30720, 30720, 19.2001, 18.5465, 12341
conn_2--5, 30720, 30720, 20.6999, 20.62, 11100
conn_3--1, 30720, 30720, 17.975, 18.3561, 12469
conn_3--2, 30720, 30720, 18.2905, 18.7224, 12225
conn_3--4, 30720, 30720, 18.6184, 19.0735, 12000
conn_3--5, 30720, 30720, 18.4482, 18.7209, 12226
conn_4--1, 30720, 30720, 17.1139, 17.8716, 12807
conn_4--2, 30720, 30720, 17.0582, 18.3693, 12460
conn_4--3, 30720, 30720, 17.047, 18.3752, 12456
conn_4--5, 30720, 30720, 17.5316, 18.3885, 12447
conn_5--1, 30720, 30720, 20.1627, 19.808, 11555
conn_5--2, 30720, 30720, 19.951, 20.0054, 11441
conn_5--3, 30720, 30720, 18.7843, 19.6533, 11646
conn_5--4, 30720, 30720, 17.9189, 18.3959, 12442
