Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
connection-1, 51200, 51200, 25.2105, 15.7652, 24197
connection-2, 51200, 51200, 20.0149, 15.5492, 24533
connection-3, 51200, 51200, 17.4985, 15.3392, 24869
connection-4, 51200, 51200, 16.7553, 15.1347, 25205
connection-5, 51200, 51200, 15.8533, 14.9356, 25541
