Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5442, 19.9458, 373541

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4289, 19.8339, 375649

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1762, 19.5886, 380354

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.7114, 20.8764, 356891

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
