Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.4308, 21.7774, 342124

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.5965, 22.9092, 325223

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 24.4701, 23.529, 316656

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5749, 19.9756, 372984
