Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1424, 19.5557, 380992

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.6279, 21.9688, 339144

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.0317, 21.39, 348320

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 22.5103, 21.6445, 344225

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
