Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 128256, 128000, 3.6286, 3.62136, 263347, 1
conn1:
  flow2_conn1, 128256, 128000, 3.62857, 3.62133, 263349, 1
