Flow id, Sent size (bytes), Delivered size (bytes), Overhead (%), Retransmit size (bytes), Delivery rate (Gbps), FCT (ns)
flow-1, 1752000, 1747500, 0.257511, 4500, 1.03545, 1.5792e+07
flow-3, 1752000, 1747500, 0.257511, 4500, 0.967974, 1.58116e+07
flow-2, 1753500, 1749000, 0.25729, 4500, 1.08822, 1.58305e+07
