Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5855, 19.9859, 372791

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.6302, 21.0002, 354786

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.3822, 22.7012, 328203

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.6212, 20.7896, 358380

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
