Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5771, 20.9486, 355660

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.1364, 22.4625, 331689

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 25.2138, 24.4794, 304361

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1937, 19.4171, 383713

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
