Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 321024, 320768, 1.08895, 1.08808, 2.19645e+06, 1
conn1:
  flow2_conn1, 320768, 320512, 1.08903, 1.08816, 2.19454e+06, 1
