Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 21.8682, 21.2313, 350924

conn2_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 22.5891, 21.9312, 339726

conn3_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 19.9807, 19.3987, 384076

conn4_flow1, 10000, 1030000, 1000000, 3, 30000, 3, 23.9149, 23.2183, 320892

conn5_flow1, 10000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
