Data Id, Connection Ids, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
send-1, conn1, 6400, 83114.9, 0.573708, 0, 83114.9
send-2, conn2, 12800, 220509, 0.432488, 0, 220509
