Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 21.443, 20.6183, 361358

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.5179, 19.9203, 374020

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9997, 19.4172, 383710

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.8501, 20.2429, 368060
