Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 22.6753
conn2, flow1_conn2, 24.8751
conn3, flow1_conn3, 19.6075
conn4, flow1_conn4, 21.5979
conn5, flow1_conn5, 21.3218
