Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 24.3898
conn2, flow1_conn2, 21.2765
conn3, flow1_conn3, 19.6075
conn4, flow1_conn4, 23.2016
conn5, flow1_conn5, 20.7465
