Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9347, 20.325, 366573

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.8514, 20.2441, 368038

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4163, 19.8217, 375880

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.562, 20.934, 355909

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
