Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.7168, 19.92, 374024

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.9908, 22.3212, 333790

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.196, 19.6077, 379982

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 24.6998, 23.9804, 310694
