Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 262144, 262144, 29.4383, 29.3205, 66613
conn_1--3, 262144, 262144, 30.4113, 30.1725, 64732
conn_1--4, 262144, 262144, 33.3872, 28.2166, 69219
conn_2--1, 262144, 262144, 29.3245, 29.0583, 67214
conn_2--3, 262144, 262144, 28.8196, 29.0657, 67197
conn_2--4, 262144, 262144, 43.0404, 26.739, 73044
conn_3--1, 262144, 262144, 31.1804, 30.4871, 64064
conn_3--2, 262144, 262144, 39.2899, 28.1268, 69440
conn_3--4, 262144, 262144, 31.1293, 30.9239, 63159
conn_4--1, 262144, 262144, 33.9481, 30.6488, 63726
conn_4--2, 262144, 262144, 28.9779, 28.7762, 67873
conn_4--3, 262144, 262144, 34.4309, 31.6855, 61641
