Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9474, 19.3664, 384717

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.9526, 21.3132, 349575

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.9651, 22.2962, 334163

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.2675, 20.4495, 364341

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.9798, 21.3396, 349143
