Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.5531, 19.7626, 377005

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9219, 19.3417, 385208

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.2356, 19.6462, 379238

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.3958, 19.8017, 376259

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.7298, 21.0969, 353161
