Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 21.2242, 20.4079, 365084

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.3692, 20.7468, 359120

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.8499, 20.2426, 368064

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.7241, 20.1204, 370299

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
