Data Id, Data Size (bytes), Time Spent (ns), Throughput (Gbps), Start time (ns), Finish time (ns)
send-1, 128000, 957642, 0.995856, 0, 957642
send-2, 256000, 1.91132e+06, 0.997922, 0, 1.91132e+06
