Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 21.1413
conn2, flow1_conn2, 20.4499
conn3, flow1_conn3, 19.3421
conn4, flow1_conn4, 23.6963
conn5, flow1_conn5, 19.9997
