Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 21.4873, 20.6609, 360613

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.4769, 19.8804, 374769

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.4362, 19.841, 375514

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.1503, 21.5051, 346456
