Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
host-1--host-6, 10485760, 10485760, 26.581, 21.0335, 3.71432e+06
host-2--host-6, 262144, 262144, 6.35694, 6.03584, 323588
host-3--host-6, 262144, 262144, 6.14453, 5.79555, 337004
host-4--host-6, 262144, 262144, 6.43978, 6.12042, 319116
host-5--host-6, 262144, 262144, 6.65081, 5.6102, 348138
