Throughput
Capacity, Actual, Utilization, Latency
100, 0, 0, 0

Ingress buffer of spine-switch-1--leaf-switch-4
Maximal size, Average size, Peak size, Packets transmitted, Packets dropped, Drop percent
65536, 8, 1500, 523, 94486407739736, 1

Egress buffer of spine-switch-1--leaf-switch-4
Maximal size, Average size, Peak size, Packets transmitted, Packets dropped, Drop percent
65536, 99, 16500, 527, 7597699210202408300, 1

