Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 22.2714
conn2, flow1_conn2, 21.5979
conn3, flow1_conn3, 19.7626
conn4, flow1_conn4, 19.6848
conn5, flow1_conn5, 22.3211
