Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.1025, 21.4588, 347204

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5496, 20.9219, 356114

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.7036, 20.1006, 370665

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 26.8444, 26.0625, 285873

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
