Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 20.6183
conn2, flow1_conn2, 19.6848
conn3, flow1_conn3, 22.4717
conn4, flow1_conn4, 24.4497
conn5, flow1_conn5, 22.9881
