Conn id
  Flow id, Sent (bytes), Delivered (bytes), Sending rate (Gbps), Throughput (Gbps), FCT (ns), Retransmit count

conn1:
  flow1_conn1, 1040000, 1000000, 20.2333, 19.4551, 382963, 4
conn2:
  flow1_conn2, 1030000, 1000000, 19.9224, 19.3421, 385200, 3
conn3:
  flow1_conn3, 1030000, 1000000, 20.6824, 20.08, 371044, 3
conn4:
  flow1_conn4, 1030000, 1000000, 23.3028, 22.6241, 329321, 3
conn5:
  flow1_conn5, 1030000, 1000000, 20.3555, 19.7626, 377005, 3
