Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.4426, 20.8181, 357890

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.7581, 20.1535, 369692

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.8712, 20.2633, 367688

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 26.1962, 25.1886, 295791

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
